x,decibel
189.215346535,-38.973255
308.318069307,-37.262684
295.73019802,-31.176888
216.20049505,-32.602692
324.167079208,-33.863483
360.544554455,-34.272976
258.99009901,-35.190201
255.903465347,-35.195564
291.294554455,-35.396210
227.08539604,-35.823666
250.306930693,-36.904346
285.125,-35.681065
280.303217822,-35.117306
309.300742574,-35.968437
207.011138614,-36.916153
192.902227723,-35.110058
2256.56311881,-16.671402
3440.2759901,-10.542238
3601.20668317,-10.889911
2928.33539604,-12.221828
2610.14108911,-13.130768
3167.48886139,-13.826110
3145.08292079,-14.779266
2667.93688119,-15.609489
1605.91955446,-16.602741
897.236386139,-18.328377
323.959158416,-19.940186
951.71039604,-22.264822
3874.90346535,-11.587349
2663.03836634,-12.452004
2249.82054455,-13.136519
1273.74257426,-14.418363
1588.92945545,-15.929748
3029.83910891,-15.394109
2387.99381188,-15.626707
1372.51732673,-16.723530
2762.6299505,-15.780712
2206.30569307,-14.464879
2017.77227723,-15.340177
1713.38118812,-16.665251
1133.5519802,-17.419205
1169.16336634,-18.130411
1174.28589109,-19.378641
747.101485149,-20.302441
233.617574257,-21.591707
410.303217822,-24.176338
3301.9529703,-10.402126
1661.16955446,-11.146812
1492.2289604,-13.086625
1299.65841584,-14.258472
1509.60891089,-15.291771
1611.02722772,-16.720291
1600.61014851,-17.607361
1604.61509901,-18.143166
1816.00371287,-16.567427
1599.26361386,-17.355217
1241.3490099,-16.327116
928.800742574,-17.988096
337.95049505,-19.504910
1795.83044554,-21.044580
853.125,-20.105995
845.242574257,-20.234304
935.396039604,-19.064905
602.810643564,-19.982573
345.044554455,-21.285391
667.696782178,-22.340879
1101.60767327,-21.620260
1161.14975248,-19.282127
1141.76361386,-20.965967
1136.66089109,-21.781439
819.65470297,-22.292171
779.280940594,-22.591003
564.761138614,-23.234806
382.957920792,-24.520557
236.558168317,-23.015070
211.457920792,-24.466324
129.909653465,-25.797766
334.076732673,-28.171352
747.082920792,-25.187870
368.08539604,-25.551109
156.649752475,-26.746861
388.03960396,-27.884527
452.972772277,-23.497276
