x,decibel
317.06125,-28.926781
357.62375,-30.047396
264.56625,-31.035423
224.06,-32.162109
182.61625,-33.656113
271.61875,-32.741264
312.9725,-33.105518
252.45875,-34.510178
271.86125,-35.172749
248.63,-34.858612
237.46875,-35.993755
206.89125,-36.973293
260.36,-36.650513
286.28375,-32.427639
261.3775,-33.187935
212.2575,-34.137199
162.29,-35.660942
161.1725,-36.240707
116.24,-36.450493
124.7875,-37.826431
112.43625,-37.373272
166.53125,-30.723471
118.2075,-32.223812
82.31625,-33.163620
201.0225,-31.436602
77.36375,-33.187904
137.315,-34.110954
122.42,-35.123726
108.17125,-35.915432
130.76625,-32.187565
163.0475,-33.132187
254.1475,-33.510792
169.56625,-33.441372
147.19375,-33.204388
99.24125,-34.266464
92.19625,-35.217731
73.16625,-35.045506
75.00125,-34.287334
57.96125,-34.776001
54.595,-36.306721
58.01,-37.294594
44.39125,-36.245201
50.66125,-32.702446
57.19125,-31.707720
111.98125,-32.893333
85.71,-29.611258
78.0125,-30.670763
107.49875,-31.802998
126.89625,-33.273151
94.3025,-34.263165
84.84125,-34.821571
57.20125,-35.575008
50.14875,-35.929569
37.43625,-36.487610
877.45875,-17.697340
1960.225,-16.209167
845.84625,-17.527107
1433.23125,-19.307981
1927.45,-18.896025
1387.69,-19.788483
1057.1075,-20.414091
1041.94,-20.720905
551.70125,-22.638494
884.31125,-23.484293
1378.48625,-23.666834
1230.2375,-24.305546
915.4025,-24.774960
878.70125,-25.223429
942.85,-25.838339
973.435,-22.809610
740.1575,-22.527880
547.63875,-23.851736
959.94625,-23.591156
778.63875,-23.980061
740.44375,-24.923275
603.905,-25.487482
707.9125,-26.372541
713.975,-25.517941
207.89625,-27.177261
238.28375,-28.664524
2969.69625,-11.729745
4572.53375,-12.271666
3994.13375,-7.728874
3849.34125,-9.532602
2896.81375,-10.462010
2428.46875,-11.649995
1470.3725,-13.937935
685.7275,-15.357732
693.07,-17.021910
907.11625,-18.852406
657.32125,-20.221304
594.16625,-22.222076
671.94625,-23.092857
558.42875,-24.183008
186.48,-26.428493
256.44125,-27.743490
744.955,-21.322800
891.9025,-22.611191
798.175,-23.279640
628.435,-24.332817
558.73125,-24.768814
487.27875,-25.684898
495.75875,-23.816702
474.645,-24.958099
398.415,-25.763777
447.95125,-26.180765
402.31625,-27.417465
374.6175,-27.147770
151.07625,-27.557444
84.915,-29.733496
38.1375,-30.926754
19.58375,-32.000805
26.63125,-33.829395
305.20375,-26.999039
149.215,-27.820562
283.06375,-28.060932
62.785,-29.565626
26.04375,-30.649464
34.06375,-32.177383
42.69375,-33.125248
151.63375,-30.270071
125.815,-30.952940
1584.09625,-20.846004
1777.34125,-18.500872
889.73,-19.795975
126.4775,-21.560411
88.6375,-24.238190
198.16,-25.580265
667.7575,-26.131363
1692.80875,-18.208654
2432.44375,-14.789165
1893.62125,-15.790834
1561.9125,-17.237270
1856.72,-16.262053
915.04125,-17.537212
750.13625,-19.597881
1411.35625,-19.974836
1764.71375,-16.908808
1861.22125,-17.696709
