x,decibel
152.5823,-42.566639
316.7052,-35.566540
256.3600,-34.558372
224.3489,-35.375599
195.1290,-36.218288
283.8464,-32.073162
229.9017,-33.543045
234.7371,-34.589790
188.0307,-35.421738
224.1474,-36.003117
216.0688,-36.870441
228.1167,-37.007294
154.0258,-37.865429
283.5356,-34.710381
225.6720,-35.571529
217.4558,-36.714928
181.9963,-34.078403
154.8894,-34.997040
232.0602,-35.568970
490.6683,-31.396496
208.2641,-29.910139
165.3366,-31.279869
167.6290,-33.027622
191.4803,-33.522823
162.8145,-33.865223
122.6388,-34.861595
203.9877,-34.453373
94.2138,-35.457478
109.6892,-36.509407
68.5025,-34.590855
96.6622,-35.534149
41.9238,-31.565475
39.3575,-32.310642
167.0737,-33.604515
330.3845,-33.585674
442.7592,-33.920288
269.5430,-30.482889
193.2273,-31.348999
261.8317,-32.229916
223.0356,-32.148949
205.3808,-32.866283
174.5184,-33.417477
146.5037,-31.899557
96.1462,-31.984793
51.4975,-32.726330
45.2703,-34.397408
69.7076,-33.080082
99.3624,-33.596226
152.0590,-33.617683
193.9558,-33.933121
219.6732,-31.353760
282.2420,-32.332897
184.7899,-31.307709
1213.7764,-32.118095
3553.2125,-22.030977
3851.6683,-15.501575
3038.6314,-12.196237
1496.5602,-12.559022
399.4988,-13.737530
1368.5319,-15.380002
3007.3292,-17.702581
2571.7678,-17.509113
1842.9865,-17.629374
2919.4238,-18.211594
2664.2432,-13.604688
1943.0307,-14.699720
2132.4287,-15.117296
1792.0442,-15.872725
1635.3907,-17.078514
1824.1044,-17.597626
2057.4730,-18.313208
1875.8108,-17.941780
1123.2346,-17.692944
1332.4939,-18.370968
1166.7838,-19.268299
637.7690,-20.071430
584.9681,-20.290014
816.4017,-21.133121
1277.7998,-22.426325
1106.3133,-23.166336
1039.1695,-19.324211
978.5197,-20.353065
616.5995,-21.334209
321.2408,-21.069881
156.1622,-22.333979
76.2039,-23.568632
1406.2850,-26.086357
615.2998,-27.709045
95.0086,-16.546782
311.6314,-19.214491
112.1523,-20.924175
