decibel
-38.973255
-37.262684
-31.176888
-32.602692
-33.863483
-34.272976
-35.190201
-35.195564
-35.396210
-35.823666
-36.904346
-35.681065
-35.117306
-35.968437
-36.916153
-35.110058
-16.671402
-10.542238
-10.889911
-12.221828
-13.130768
-13.826110
-14.779266
-15.609489
-16.602741
-18.328377
-19.940186
-22.264822
-11.587349
-12.452004
-13.136519
-14.418363
-15.929748
-15.394109
-15.626707
-16.723530
-15.780712
-14.464879
-15.340177
-16.665251
-17.419205
-18.130411
-19.378641
-20.302441
-21.591707
-24.176338
-10.402126
-11.146812
-13.086625
-14.258472
-15.291771
-16.720291
-17.607361
-18.143166
-16.567427
-17.355217
-16.327116
-17.988096
-19.504910
-21.044580
-20.105995
-20.234304
-19.064905
-19.982573
-21.285391
-22.340879
-21.620260
-19.282127
-20.965967
-21.781439
-22.292171
-22.591003
-23.234806
-24.520557
-23.015070
-24.466324
-25.797766
-28.171352
-25.187870
-25.551109
-26.746861
-27.884527
-23.497276
